Density:0.2, Vertices: 180, Time: 0.0108 seconds, MST Weight by list: 181
Density:0.3, Vertices: 180, Time: 0.0125 seconds, MST Weight by list: 181
Density:0.4, Vertices: 180, Time: 0.0248 seconds, MST Weight by list: 179
Density:0.5, Vertices: 180, Time: 0.0200 seconds, MST Weight by list: 179
Density:0.6, Vertices: 180, Time: 0.0209 seconds, MST Weight by list: 179
Density:0.7, Vertices: 180, Time: 0.0207 seconds, MST Weight by list: 179
Density:0.8, Vertices: 180, Time: 0.0279 seconds, MST Weight by list: 179
Density:0.1, Vertices: 200, Time: 0.0086 seconds, MST Weight by list: 222
Density:0.2, Vertices: 200, Time: 0.0146 seconds, MST Weight by list: 206
Density:0.3, Vertices: 200, Time: 0.0128 seconds, MST Weight by list: 199
Density:0.4, Vertices: 200, Time: 0.0185 seconds, MST Weight by list: 199
Density:0.5, Vertices: 200, Time: 0.0211 seconds, MST Weight by list: 199
Density:0.6, Vertices: 200, Time: 0.0269 seconds, MST Weight by list: 199
Density:0.7, Vertices: 200, Time: 0.0304 seconds, MST Weight by list: 199
Density:0.8, Vertices: 200, Time: 0.0309 seconds, MST Weight by list: 199
Density:0.1, Vertices: 20, Time: 0.0000 seconds, MST Weight by list: 98
Density:0.2, Vertices: 20, Time: 0.0000 seconds, MST Weight by list: 59
Density:0.3, Vertices: 20, Time: 0.0000 seconds, MST Weight by list: 60
Density:0.4, Vertices: 20, Time: 0.0000 seconds, MST Weight by list: 49
Density:0.5, Vertices: 20, Time: 0.0010 seconds, MST Weight by list: 27
Density:0.6, Vertices: 20, Time: 0.0000 seconds, MST Weight by list: 32
Density:0.7, Vertices: 20, Time: 0.0000 seconds, MST Weight by list: 30
Density:0.8, Vertices: 20, Time: 0.0000 seconds, MST Weight by list: 24
Density:0.1, Vertices: 50, Time: 0.0000 seconds, MST Weight by list: 158
Density:0.2, Vertices: 50, Time: 0.0000 seconds, MST Weight by list: 86
Density:0.3, Vertices: 50, Time: 0.0010 seconds, MST Weight by list: 69
Density:0.4, Vertices: 50, Time: 0.0012 seconds, MST Weight by list: 62
Density:0.5, Vertices: 50, Time: 0.0030 seconds, MST Weight by list: 50
Density:0.6, Vertices: 50, Time: 0.0010 seconds, MST Weight by list: 52
